collateral_id,collateral_type,concerns_loan_id,concerns_borrower_id,valuation_date,latest_valuation_amount,collateral_currency,collateral_insured,insurance_coverage_amount,insurance_provider_id,activation_of_guarantee,configuration,created_at
1,guarantee,540,462,2023-09-24,209994.2,EUR,false,,,true,mixed,2023-09-24T09:39:38+00:00
2,property,1388,,2023-08-24,5464963.46,GBP,false,,,false,pool,2023-08-24T07:45:41+00:00
3,property,608,,2022-05-01,2250159.26,EUR,false,,,false,single_asset,2022-05-01T08:13:48+00:00
4,guarantee,1426,,2024-11-23,1435500.38,EUR,false,,,false,pool,2024-11-23T08:39:32+00:00
5,property,865,,2022-11-16,4865319.73,EUR,false,,,false,single_asset,2022-11-16T19:45:18+00:00
6,cash,728,,2024-05-11,1159772.14,USD,true,586603.15,8,false,single_asset,2024-05-11T15:56:56+00:00
7,property,582,,2025-06-26,1536435.18,EUR,true,467082.96,20,false,single_asset,2025-06-26T03:53:47+00:00
8,other,1102,,2023-09-21,1896650.23,USD,true,738093.45,17,false,mixed,2023-09-21T00:13:07+00:00
9,property,1464,1311,2024-07-03,1012569.14,USD,true,516787.0,12,false,mixed,2024-07-03T16:32:02+00:00
10,property,1252,915,2022-08-28,1357178.79,GBP,true,499856.42,5,false,single_asset,2022-08-28T22:14:53+00:00
11,property,1328,,2022-03-12,4672981.75,USD,false,,,false,pool,2022-03-12T21:01:52+00:00
12,property,302,,2022-06-24,2409971.96,EUR,false,,,false,mixed,2022-06-24T18:44:46+00:00
13,property,,540,2024-08-18,4463929.09,EUR,true,3411816.34,11,false,single_asset,2024-08-18T18:42:06+00:00
14,property,,910,2024-06-26,3028789.84,EUR,true,1577733.3,7,false,mixed,2024-06-26T21:09:32+00:00
15,property,138,41,2023-12-30,3345020.44,EUR,false,,,false,mixed,2023-12-30T15:52:16+00:00
16,property,1424,,2024-02-18,4646214.87,EUR,true,3559762.38,10,false,pool,2024-02-18T14:50:48+00:00
17,guarantee,569,1274,2025-01-18,519835.89,GBP,false,,,true,single_asset,2025-01-18T12:09:36+00:00
18,property,1324,,2022-01-24,2532215.73,GBP,false,,,false,single_asset,2022-01-24T08:58:37+00:00
19,property,357,,2025-09-27,1816342.29,GBP,false,,,false,pool,2025-09-27T11:45:04+00:00
20,property,111,,2025-04-02,3916181.14,USD,true,1673681.26,18,false,pool,2025-04-02T08:30:37+00:00
21,guarantee,1221,,2022-05-04,2334365.4,USD,false,,,false,mixed,2022-05-04T21:16:03+00:00
22,guarantee,,1293,2025-03-05,5527870.88,EUR,true,4316756.32,11,false,mixed,2025-03-05T07:24:46+00:00
23,property,,630,2023-12-19,1736248.78,EUR,true,1148276.13,4,false,mixed,2023-12-19T19:19:18+00:00
24,cash,301,,2022-01-09,5218933.73,USD,false,,,false,pool,2022-01-09T09:46:20+00:00
25,property,361,,2024-11-04,452374.79,USD,true,181827.25,5,false,single_asset,2024-11-04T23:07:13+00:00
26,other,,1526,2023-11-02,627040.32,GBP,true,338777.3,8,false,mixed,2023-11-02T07:20:10+00:00
27,property,884,,2025-03-25,4848955.72,EUR,false,,,false,mixed,2025-03-25T14:22:11+00:00
28,other,326,,2025-09-27,4056313.39,GBP,true,1989826.48,8,false,mixed,2025-09-27T14:10:10+00:00
29,property,587,1885,2023-05-03,3370862.92,EUR,true,2732113.42,13,false,pool,2023-05-03T08:12:38+00:00
30,property,313,,2025-11-02,4141394.07,GBP,false,,,false,mixed,2025-11-02T11:07:08+00:00
31,property,1032,,2022-03-22,5642515.79,EUR,true,4299255.52,11,false,single_asset,2022-03-22T08:58:37+00:00
32,cash,310,,2024-11-20,308031.02,EUR,false,,,false,mixed,2024-11-20T09:56:39+00:00
33,cash,1388,,2023-08-10,3207608.32,USD,false,,,false,pool,2023-08-10T23:53:17+00:00
34,property,1288,,2025-05-26,4411124.06,USD,false,,,false,single_asset,2025-05-26T02:07:28+00:00
35,guarantee,,82,2024-01-14,2113198.15,GBP,true,835748.13,15,true,mixed,2024-01-14T08:44:34+00:00
36,other,1383,72,2022-01-24,4964279.18,USD,false,,,false,pool,2022-01-24T13:32:14+00:00
37,guarantee,1147,,2024-02-17,85033.05,EUR,false,,,false,single_asset,2024-02-17T16:52:21+00:00
38,property,530,,2026-02-17,380136.76,USD,true,101758.84,20,false,single_asset,2026-02-17T11:57:11+00:00
39,property,308,,2022-01-07,1323424.68,EUR,false,,,false,single_asset,2022-01-07T11:46:05+00:00
40,property,807,,2024-04-28,29554.08,EUR,false,,,false,single_asset,2024-04-28T11:52:45+00:00
41,cash,953,,2022-04-20,1385338.47,GBP,true,523558.24,11,false,mixed,2022-04-20T22:19:54+00:00
42,other,267,,2024-06-28,3631604.19,USD,false,,,false,single_asset,2024-06-28T05:28:56+00:00
43,property,1039,1708,2023-04-04,10791.58,GBP,false,,,false,mixed,2023-04-04T10:47:24+00:00
44,cash,432,,2023-06-06,1715995.37,GBP,true,1049140.47,11,false,pool,2023-06-06T03:00:04+00:00
45,property,,323,2025-02-25,5342392.58,USD,false,,,false,mixed,2025-02-25T20:17:12+00:00
46,property,1085,,2024-06-15,2560085.56,GBP,true,1693457.13,6,false,pool,2024-06-15T21:08:25+00:00
47,property,1273,,2023-03-07,317197.9,GBP,false,,,false,pool,2023-03-07T03:59:30+00:00
48,property,454,,2023-07-16,2050144.45,EUR,false,,,false,single_asset,2023-07-16T05:12:50+00:00
49,guarantee,48,,2025-06-08,5170864.3,USD,false,,,false,pool,2025-06-08T13:34:33+00:00
50,property,,1598,2025-09-29,4188844.38,EUR,false,,,false,pool,2025-09-29T21:57:18+00:00
51,property,32,101,2024-03-31,3931701.26,USD,false,,,false,pool,2024-03-31T22:25:04+00:00
52,property,1396,,2024-02-25,4370465.4,EUR,false,,,false,single_asset,2024-02-25T13:57:59+00:00
53,cash,,1341,2024-07-21,5889343.89,USD,false,,,false,mixed,2024-07-21T06:04:10+00:00
54,guarantee,794,,2023-08-15,1947229.94,USD,false,,,false,mixed,2023-08-15T22:59:25+00:00
55,property,800,,2022-07-21,823415.35,GBP,false,,,false,mixed,2022-07-21T14:22:52+00:00
56,property,1170,1027,2022-08-24,5889997.29,USD,true,3049117.7,18,false,pool,2022-08-24T15:37:30+00:00
57,property,907,,2024-12-09,5057804.6,EUR,true,2405521.36,4,false,mixed,2024-12-09T06:16:09+00:00
58,cash,11,1577,2024-11-20,5251014.04,GBP,true,2623348.22,16,false,mixed,2024-11-20T17:05:31+00:00
59,guarantee,262,,2025-09-07,3469721.47,EUR,false,,,false,mixed,2025-09-07T13:55:24+00:00
60,guarantee,424,150,2025-12-11,1620534.3,EUR,true,1121611.83,5,true,mixed,2025-12-11T23:16:31+00:00
61,guarantee,,233,2024-05-26,2479816.25,GBP,false,,,false,mixed,2024-05-26T02:15:28+00:00
62,cash,644,,2024-04-13,3941127.6,USD,false,,,false,single_asset,2024-04-13T17:26:55+00:00
63,property,729,,2022-02-10,2263776.07,USD,false,,,false,pool,2022-02-10T11:40:16+00:00
64,guarantee,46,,2025-09-13,4628615.48,GBP,false,,,true,pool,2025-09-13T14:03:39+00:00
65,property,209,566,2022-10-13,4534592.81,USD,false,,,false,mixed,2022-10-13T05:31:35+00:00
66,guarantee,1064,,2022-01-02,5411039.11,EUR,false,,,false,pool,2022-01-02T11:11:41+00:00
67,property,279,,2023-09-22,3826625.43,GBP,false,,,false,single_asset,2023-09-22T18:53:04+00:00
68,guarantee,,2188,2023-01-22,1135681.38,EUR,true,410301.33,6,false,single_asset,2023-01-22T15:49:17+00:00
69,property,595,2006,2025-09-20,4222551.89,EUR,false,,,false,single_asset,2025-09-20T19:44:35+00:00
70,guarantee,,2095,2025-04-06,2376873.25,USD,true,796441.25,1,true,single_asset,2025-04-06T00:07:55+00:00
71,property,1467,,2024-11-12,5678128.51,GBP,false,,,false,single_asset,2024-11-12T07:05:47+00:00
72,property,1063,,2023-10-20,5933855.16,EUR,true,1828251.54,15,false,mixed,2023-10-20T03:39:04+00:00
73,guarantee,1310,,2024-12-21,2025869.22,GBP,true,639213.71,4,true,single_asset,2024-12-21T07:47:15+00:00
74,cash,863,,2022-09-30,3000990.53,EUR,true,1445845.48,15,false,mixed,2022-09-30T00:04:04+00:00
75,property,716,,2023-02-18,595372.99,EUR,false,,,false,single_asset,2023-02-18T05:16:33+00:00
76,property,945,,2022-08-15,2861685.45,GBP,false,,,false,mixed,2022-08-15T15:16:44+00:00
77,cash,235,,2023-11-29,5589636.63,USD,true,1631363.66,19,false,single_asset,2023-11-29T10:27:30+00:00
78,other,221,,2026-01-30,3261961.66,GBP,false,,,false,mixed,2026-01-30T15:55:48+00:00
79,property,1288,1913,2023-01-18,5153242.7,GBP,false,,,false,mixed,2023-01-18T21:26:33+00:00
80,guarantee,821,,2025-10-06,1292431.63,EUR,false,,,true,pool,2025-10-06T02:07:11+00:00
81,property,513,,2022-01-08,2382875.96,GBP,false,,,false,pool,2022-01-08T04:24:46+00:00
82,property,1023,,2022-07-01,4780509.29,USD,false,,,false,mixed,2022-07-01T13:29:05+00:00
83,property,232,,2026-01-07,3534269.45,GBP,false,,,false,mixed,2026-01-07T07:39:06+00:00
84,property,929,,2024-03-15,3127534.21,EUR,false,,,false,pool,2024-03-15T05:46:58+00:00
85,property,671,,2023-06-27,4915353.06,GBP,false,,,false,mixed,2023-06-27T09:31:06+00:00
86,guarantee,333,,2023-08-13,2677539.79,GBP,true,2066212.04,13,false,mixed,2023-08-13T00:41:44+00:00
87,property,164,,2024-07-06,3440069.72,USD,false,,,false,single_asset,2024-07-06T05:30:19+00:00
88,property,20,,2023-05-18,1974145.16,EUR,false,,,false,pool,2023-05-18T21:24:14+00:00
89,cash,,472,2022-02-02,913758.6,GBP,false,,,false,pool,2022-02-02T22:49:31+00:00
90,property,1065,1174,2022-01-14,1852458.88,USD,true,519271.64,3,false,pool,2022-01-14T01:12:32+00:00
91,guarantee,1405,,2022-06-08,7247.47,GBP,false,,,false,mixed,2022-06-08T13:52:16+00:00
92,cash,,222,2023-03-20,975303.99,GBP,false,,,false,pool,2023-03-20T10:48:40+00:00
93,property,1019,,2022-03-31,5531565.42,USD,false,,,false,pool,2022-03-31T06:07:55+00:00
94,property,433,,2024-04-21,869527.79,USD,false,,,false,mixed,2024-04-21T15:16:51+00:00
95,guarantee,,1378,2024-05-04,5835104.89,GBP,false,,,false,pool,2024-05-04T12:53:59+00:00
96,cash,230,,2024-05-07,5373468.65,GBP,false,,,false,single_asset,2024-05-07T05:15:55+00:00
97,property,,817,2026-02-04,2647531.45,GBP,true,984832.64,8,false,mixed,2026-02-04T06:26:57+00:00
98,guarantee,96,2055,2022-06-01,2556113.33,GBP,false,,,false,mixed,2022-06-01T11:57:47+00:00
99,property,407,,2024-12-07,5480641.75,USD,true,2487949.02,7,false,single_asset,2024-12-07T04:57:17+00:00
100,property,55,821,2023-06-28,1754426.72,GBP,false,,,false,single_asset,2023-06-28T04:12:53+00:00
101,other,710,411,2024-05-14,649394.28,EUR,true,286176.66,12,false,pool,2024-05-14T20:32:07+00:00
102,property,857,,2022-04-14,3081011.64,GBP,true,2553693.52,17,false,mixed,2022-04-14T01:59:12+00:00
103,property,1074,541,2023-04-26,2260206.45,EUR,true,702896.65,9,false,pool,2023-04-26T23:38:32+00:00
104,cash,,2094,2023-01-09,4594576.88,USD,false,,,false,pool,2023-01-09T13:15:15+00:00
105,property,,1657,2025-02-07,4033883.7,USD,false,,,false,pool,2025-02-07T10:49:41+00:00
106,property,1254,2162,2024-01-04,3578380.64,EUR,false,,,false,single_asset,2024-01-04T17:28:27+00:00
107,property,,872,2023-02-06,2420413.9,EUR,true,1979620.15,5,false,single_asset,2023-02-06T09:36:27+00:00
108,property,,2117,2022-09-02,636694.86,EUR,true,280445.69,5,false,pool,2022-09-02T04:45:34+00:00
109,guarantee,870,,2024-04-17,364775.13,EUR,true,264225.78,15,true,single_asset,2024-04-17T14:52:09+00:00
110,cash,,1257,2024-08-17,2619485.35,USD,false,,,false,single_asset,2024-08-17T16:11:49+00:00
111,property,586,,2022-12-04,8238.42,EUR,false,,,false,mixed,2022-12-04T10:14:15+00:00
112,other,,949,2024-06-15,4887049.98,GBP,false,,,false,pool,2024-06-15T03:14:05+00:00
