loan_id,loan_type,origination_date,maturity_date,current_maturity_date,currency_code,channel_of_origination,amortisation_type,principal_balance,accrued_interest_on_book,accrued_interest_off_book,balance_at_default,ifrs_stage,days_past_due,default_date,current_interest_rate,current_interest_margin,interest_rate_type,product_code,code_of_conduct_status,is_non_performing,write_off_flag,created_at
1,personal,2019-09-27,2024-12-12,2025-10-08,EUR,broker,bullet,83102.4,3832.22,551.75,,ifrs_stage_1,2,,9.6927,6.556,floating,AUTO_LOAN,waived,false,false,2019-09-27T04:35:49+00:00
2,personal,2021-02-10,2030-05-03,2030-01-24,USD,branch,bullet,192568.9,10080.47,293.78,172886.35,ifrs_stage_3_impaired,475,2025-10-28,5.6078,2.3497,mixed,SME_REVOLVER,active,true,false,2021-02-10T14:02:01+00:00
3,corporate,2025-06-17,2027-06-12,2028-01-29,EUR,branch,linear,9039557.07,462612.64,106689.71,,other_not_impaired,2,,2.6314,0.7621,mixed,SME_TERM,not_applicable,false,false,2025-06-17T15:55:06+00:00
4,personal,2022-03-29,2032-01-09,2031-07-25,USD,branch,annuity,190852.72,1697.7,2837.52,,other_not_impaired,7,,6.3664,5.3993,mixed,BRIDGE_LOAN,not_applicable,false,false,2022-03-29T12:46:22+00:00
5,corporate,2024-11-08,2028-05-04,2028-06-13,USD,branch,annuity,437984.35,12299.09,5475.84,449263.83,ifrs_stage_3_impaired,522,2025-01-21,5.7909,2.1137,floating,BRIDGE_LOAN,waived,true,false,2024-11-08T18:37:38+00:00
6,corporate,2021-11-01,2029-06-21,2029-07-24,GBP,branch,linear,1195928.85,64099.84,11515.85,,ifrs_stage_1,8,,2.6847,1.3828,fixed,SME_REVOLVER,active,false,false,2021-11-01T11:07:25+00:00
7,personal,2021-09-24,2027-06-29,2028-05-16,EUR,online,linear,251916.12,13375.83,2191.44,,ifrs_stage_2,17,,5.5351,3.975,floating,SME_REVOLVER,waived,false,false,2021-09-24T00:19:17+00:00
8,personal,2019-08-10,2025-03-22,2025-04-27,USD,broker,annuity,201290.0,6886.05,1532.4,,ifrs_stage_1,2,,7.7138,4.0546,mixed,BRIDGE_LOAN,not_applicable,false,false,2019-08-10T03:56:48+00:00
9,corporate,2021-01-30,2025-02-23,2025-12-10,EUR,branch,bullet,1821637.35,9897.34,26786.89,1628852.58,ifrs_stage_3_impaired,209,2021-11-22,11.7712,7.8111,fixed,SME_REVOLVER,waived,true,true,2021-01-30T07:02:37+00:00
10,personal,2020-03-18,2028-05-08,2028-12-25,USD,partner,linear,200493.74,6913.17,2490.7,158535.14,ifrs_stage_3_impaired,548,2024-04-11,9.9501,8.1069,floating,BRIDGE_LOAN,waived,true,false,2020-03-18T10:54:58+00:00
