property_collateral_id,collateral_id,address_line,city,country_code,postal_code,building_area_m2,lettable_area_m2,occupied_area_m2,condition_of_property,completion_status,current_market_status,current_annual_passing_rent,valuation_currency,initial_valuation_date,latest_valuation_date,created_at
2,2,540 Main Street,Milan,ES,41869,9561.56,1642.28,9216.0,poor,under_construction,normal,360986.25,EUR,2020-09-26,2023-08-24,2023-08-24T15:07:15+00:00
3,3,201 Main Street,Milan,ES,53813,9337.64,6209.29,8675.58,fair,planned,liquid,362758.03,GBP,2020-09-21,2022-05-01,2022-05-01T13:04:21+00:00
5,5,420 Main Street,Berlin,FR,19249,5126.5,2840.32,7617.66,fair,under_construction,normal,526342.27,USD,2021-10-01,2022-11-16,2022-11-16T02:04:02+00:00
7,7,860 Main Street,Milan,US,41097,7805.04,4054.25,2521.13,poor,planned,liquid,326814.64,GBP,2023-02-13,2025-06-26,2025-06-26T10:46:29+00:00
9,9,591 Main Street,Amsterdam,IT,12538,2799.2,1685.26,3444.58,poor,completed,liquid,404116.58,USD,2022-09-07,2024-07-03,2024-07-03T13:51:56+00:00
10,10,189 Main Street,London,BE,94249,6421.12,4819.81,5816.83,fair,completed,illiquid,77788.45,GBP,2021-10-23,2022-08-28,2022-08-28T16:29:26+00:00
11,11,793 Main Street,Milan,BE,60299,3726.18,3340.65,693.18,excellent,planned,normal,127114.31,EUR,2021-03-18,2022-03-12,2022-03-12T07:14:02+00:00
12,12,986 Main Street,Dublin,IT,58674,9939.03,4983.39,3962.58,fair,under_construction,illiquid,117301.49,GBP,2020-05-01,2022-06-24,2022-06-24T20:09:01+00:00
13,13,13 Main Street,London,IE,17443,8040.93,1084.4,8382.23,fair,planned,liquid,160090.85,USD,2022-09-29,2024-08-18,2024-08-18T23:25:51+00:00
14,14,536 Main Street,New York,FR,42818,11457.87,704.86,6735.22,poor,completed,normal,173513.98,EUR,2022-05-05,2024-06-26,2024-06-26T23:30:26+00:00
15,15,730 Main Street,Berlin,NL,54188,6162.06,2349.74,5561.21,good,completed,illiquid,310223.16,EUR,2020-11-12,2023-12-30,2023-12-30T03:46:02+00:00
16,16,588 Main Street,Berlin,GB,70924,10265.81,3090.3,9170.0,good,completed,illiquid,181217.42,EUR,2022-09-13,2024-02-18,2024-02-18T04:03:45+00:00
18,18,867 Main Street,Paris,FR,94313,9440.73,9955.9,7279.96,good,completed,liquid,122888.47,EUR,2019-08-04,2022-01-24,2022-01-24T01:42:57+00:00
19,19,231 Main Street,Dublin,BE,22135,8225.66,190.58,9218.63,excellent,planned,liquid,80761.45,USD,2022-10-19,2025-09-27,2025-09-27T10:51:17+00:00
20,20,79 Main Street,New York,FR,88139,6023.6,6703.67,3191.2,excellent,completed,illiquid,96759.06,USD,2023-12-09,2025-04-02,2025-04-02T21:59:22+00:00
23,23,478 Main Street,Berlin,IE,90029,7800.81,8957.31,3541.92,excellent,under_construction,illiquid,340261.6,GBP,2023-04-15,2023-12-19,2023-12-19T09:52:20+00:00
25,25,643 Main Street,New York,GB,96964,6023.51,7398.65,9003.97,good,planned,normal,390317.64,GBP,2023-01-25,2024-11-04,2024-11-04T00:15:20+00:00
27,27,428 Main Street,Amsterdam,DE,98517,11497.49,4192.69,1623.41,good,planned,normal,151700.21,EUR,2024-01-05,2025-03-25,2025-03-25T11:18:10+00:00
